first,second
5.0000,1095.11
5.0144,1205.11
5.0288,1009.56
5.0432,992.44
5.0576,1048.67
5.0720,1090.22
5.0864,1031.56
5.1009,1088.42
5.1153,1035.16
5.1297,1157.89
5.1441,1106.95
5.1585,1062.95
5.1729,1081.47
5.1873,1014.32
5.2017,1034.00
5.2161,992.20
5.2305,972.40
5.2449,1003.20
5.2593,1015.30
5.2737,1057.10
5.2881,1194.60
5.3026,1037.14
5.3170,1064.38
5.3314,993.14
5.3458,1080.10
5.3602,1009.90
5.3746,1016.19
5.3890,1064.38
5.4034,1038.00
5.4178,1089.00
5.4322,1076.00
5.4466,1000.00
5.4610,956.00
5.4754,1118.00
5.4899,1062.00
5.5043,1052.17
5.5187,977.57
5.5331,1111.48
5.5475,1069.39
5.5619,1050.26
5.5763,1019.65
5.5907,1031.13
5.6051,1089.00
5.6195,1056.00
5.6339,962.50
5.6483,964.33
5.6627,1039.50
5.6771,968.00
5.6916,1050.50
5.7060,1101.76
5.7204,1026.08
5.7348,1099.12
5.7492,992.64
5.7636,1008.48
5.7780,1110.56
5.7924,1040.16
5.8068,1055.15
5.8212,1039.92
5.8356,1064.46
5.8500,1150.77
5.8644,1123.69
5.8788,1081.38
5.8933,1071.23
5.9077,1100.00
5.9221,1104.89
5.9365,1028.30
5.9509,966.37
5.9653,1008.74
5.9797,1018.52
5.9941,1026.67
6.0085,1054.37
6.0229,984.30
6.0373,1073.93
6.0517,1078.00
6.0661,1037.14
6.0806,1068.57
6.0950,1120.43
6.1094,964.86
6.1238,1087.43
6.1382,1030.86
6.1526,922.43
6.1670,1098.43
6.1814,1070.14
6.1958,993.14
6.2102,1034.00
6.2246,1082.71
6.2390,1037.14
6.2534,984.69
6.2678,1056.00
6.2823,1011.24
6.2967,1115.17
6.3111,1059.79
6.3255,1077.24
6.3399,1059.03
6.3543,1022.62
6.3687,1046.90
6.3831,993.79
6.3975,1049.93
6.4119,993.79
6.4263,1012.00
6.4407,1059.03
6.4551,1070.67
6.4696,1036.93
6.4840,997.33
6.4984,1060.40
6.5128,992.93
6.5272,1054.53
6.5416,990.00
6.5560,1020.80
6.5704,1041.33
6.5848,1013.47
6.5992,1111.73
6.6136,1098.53
6.6280,973.87
6.6424,1054.53
6.6568,1065.94
6.6713,1102.84
6.6857,1026.19
6.7001,1046.77
6.7145,1023.35
6.7289,1003.48
6.7433,1003.48
6.7577,1078.00
6.7721,975.10
6.7865,972.26
6.8009,1014.84
6.8153,1062.39
6.8297,1050.32
6.8441,1003.48
6.8585,1017.50
6.8730,1053.25
6.8874,1078.00
6.9018,1043.63
6.9162,1050.50
6.9306,1034.00
6.9450,1035.38
6.9594,1057.38
6.9738,1053.25
6.9882,1089.00
7.0026,957.00
7.0170,1062.88
7.0314,1006.50
7.0458,995.50
7.0603,1048.00
7.0747,1084.00
7.0891,1009.33
7.1035,1012.00
7.1179,1075.33
7.1323,1084.67
7.1467,1022.67
7.1611,1070.67
7.1755,1082.67
7.1899,1132.00
7.2043,1060.00
7.2187,1012.67
7.2331,1028.00
7.2475,1016.00
7.2620,1149.18
7.2764,1035.29
7.2908,1092.24
7.3052,1075.41
7.3196,953.76
7.3340,1133.65
7.3484,1081.88
7.3628,1030.12
7.3772,1012.00
7.3916,1068.94
7.4060,1036.59
7.4204,1061.18
7.4348,1079.29
7.4493,1005.53
7.4637,1067.31
7.4781,1087.43
